# select substr(TS_DAY,1,4) || '-' || substr(TS_DAY,5,2) || '-' || substr(TS_DAY,7,2) as T, 
# UPASS_2010, UPASS_2011, UPASS_2012, UPASS_2013,
# MONTHLYPASS_2010, MONTHLYPASS_2011, MONTHLYPASS_2012, MONTHLYPASS_2013,
# DISCOUNTPASS_2010, DISCOUNTPASS_2011, DISCOUNTPASS_2012, DISCOUNTPASS_2013
# from V_YEARSPREAD

########################################################################################
2013-10-07,18186,18461,4850,,14700,14521,5731,,8237,8957,3260,
2013-10-08,18603,6728,5964,,14382,7812,5224,,8914,5181,3222,
2013-10-09,6121,4562,17955,,7659,5881,13557,,4701,3991,7438,
2013-10-10,4675,5785,17509,,5735,5477,13330,,3700,3407,6972,
2013-10-11,6206,18129,18122,,5643,14463,13549,,3375,7831,7333,
2013-10-12,17731,18254,20039,,14598,15087,13271,,8226,8597,7845,
2013-10-13,17940,18551,9948,,15107,15181,7632,,8321,8287,4561,
2013-10-14,17637,20116,6687,,14628,15234,5441,,8314,9399,3130,
2013-10-15,20570,11387,17034,,14924,8307,12974,,9333,5848,6740,
2013-10-16,11247,7064,18432,,8498,6579,13577,,5485,4278,6919,
2013-10-17,7329,17230,17918,,6610,14307,13440,,4145,8157,7180,
2013-10-18,17133,17887,17911,,14208,15000,13156,,7823,8276,7014,
2013-10-19,18173,18116,20473,,14785,14733,12946,,8128,8365,6359,
2013-10-20,17677,18119,10350,,14507,15002,7596,,8187,8808,4525,
2013-10-21,18107,19389,7518,,14640,14004,5676,,8303,7001,3385,
2013-10-22,19902,9932,17348,,14287,8174,11853,,7235,5338,6106,
2013-10-23,10397,7333,17983,,8356,6697,12843,,5256,4321,6710,
2013-10-24,7326,17380,18206,,6052,14308,12892,,3521,7991,6893,
2013-10-25,17774,18513,18712,,13400,14666,12789,,6986,8074,6977,
2013-10-26,18565,18881,19940,,14261,14816,12140,,8084,8091,6859,
2013-10-27,18730,19367,9576,,14588,14642,6339,,8264,8476,3913,
2013-10-28,19243,22123,7045,,14480,14134,5261,,8340,8698,3086,
2013-10-29,22177,11204,16598,,14574,8245,11631,,8782,5313,6239,
2013-10-30,11244,7266,17811,,8520,6112,12051,,5294,3705,6086,
